Country Name,Country Code,Labour Force (2024),Region,%Indoor Essential Workers,%Indoor Vital Workers,%Essential Workers,%Vital Workers,%Armed Forces (Indoor Essential),%Armed Forces (Essential),%Onsite Excluded Essential (ISCO 61+63),%Onsite Excluded Vital (ISCO 61+63),Indoor Essential Workers,Indoor Vital Workers,Essential Workers,Vital Workers,Armed Forces (Indoor Essential),Armed Forces (Essential),Indoor Essential CADR Requirement (L/s),Indoor Vital CADR Requirement (L/s),Scaled ECA Essential (L/s/person),Scaled ECA Vital (L/s/person)
"Micronesia, Fed. Sts.",FSM,14500.0,Micronesia,0.25343054897082545,0.1096118988569132,0.43366202579461444,0.24115243892177682,,,0.053493355011615125,0.053493355011615125,3674.742960076969,1589.3725334252415,6288.099374021909,3496.710364365764,,,762025.838410152,338673.05913317145,124.33848675084243,129.55519970969485
Gabon,GAB,824000.0,Middle Africa,0.38085672713442126,0.12153936082619335,0.5964652484910125,0.25661611878225776,0.023751797822066982,0.023751797822066982,0.10750616036061185,0.10750616036061185,313825.9431587631,100148.43332078333,491487.36475659424,211451.6818765804,19571.481405383194,19571.481405383194,38100944.55885513,13914275.941847404,121.40788672649678,138.93653131126757
United Kingdom,GBR,35400000.0,Northern Europe,0.21061395953518736,0.08512783000932389,0.2994050172199934,0.1329235844603823,0.0003540049484140395,0.0003540049484140395,0.00834188132334835,0.00834188132334835,7455734.167545632,3013525.182330066,10598937.609587766,4705494.889897534,12531.775173856999,12531.775173856999,1126554704.6239274,486010261.3706263,151.09909759494283,161.27632323113417
Georgia,GEO,1830000.0,Western Asia,0.22356845091334615,0.11466754248719702,0.5597999999999999,0.4162491378224959,0.0022825354086184213,0.0022825354086184213,0.2985218758642044,0.2985218758642044,409130.26517142344,209841.60275157055,1024433.9999999998,761735.9222151674,4177.039797771711,4177.039797771711,54588110.226899624,30035783.23737312,133.4247668136394,143.13550241480092
Ghana,GHA,13900000.0,Western Africa,0.3151740067546405,0.14054146289137023,0.6838918613599504,0.46270938656799043,0.0,0.0,0.35932130550825925,0.35932130550825925,4380918.693889503,1953526.3341900462,9506096.87290331,6431660.473295067,0.0,0.0,563037894.7691716,274235324.9603432,128.52050770869036,140.37964073519603
Gibraltar,GIB,27000.0,Southern Europe,0.20033337328703696,0.06718901184244014,0.28719999999999996,0.11261298200911858,,,0.01185372304139258,0.01185372304139258,5409.001078749998,1814.1033197458837,7754.399999999999,3040.5505142462016,,,19805793.01332273,7475900.568975627,128.0623985714628,144.12786795970848
Guinea,GIN,4530000.0,Western Africa,0.31090217311664875,0.07539754230940626,0.7077707794758886,0.4227975335625138,0.004082322446408544,0.004082322446408544,0.34879553615912406,0.34879553615912406,1408386.844218419,341550.8666616104,3206201.6310257753,1915272.8270381875,18492.920682230706,18492.920682230706,170691954.84958225,47367484.58304047,121.19678307866286,138.68354381887585
Gambia,GMB,783000.0,Western Africa,0.41032701838730395,0.13654558920130896,0.7033000000000001,0.34796977503374604,0.0014125901338127792,0.0014125901338127792,0.19304088885923537,0.19304088885923537,321286.055397259,106915.19634462491,550683.9000000001,272460.3338514232,1106.058074775406,1106.058074775406,39560103.682161465,14610997.771706158,123.13047210607002,136.6596917112683
Guinea-Bissau,GNB,845000.0,Western Africa,0.21872402803839114,0.09042038243642694,0.7702773703130424,0.6111017221753925,0.004018428102012306,0.004018428102012306,0.3460530313890505,0.3460530313890505,184821.8036924405,76405.22315878076,650884.3779145209,516380.95523820666,3395.5717462003986,3395.5717462003986,23221692.15510588,10611576.507945409,125.64368321904698,138.88548543197192
Equatorial Guinea,GNQ,715000.0,Middle Africa,0.35864732742707833,0.13498468621560789,0.609302529896056,0.30772147780776826,,,0.15533898269581684,0.15533898269581684,256432.839110361,96514.05064415964,435651.3088756801,220020.85663255432,,,428698391.23792887,230005325.67667687,124.06147972889006,137.73381116012652
